time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,new_la_code,la_name,sex_of_school_description,phase_type_grouping,type_of_establishment,denomination,admissions_policy,urban_rural,academy_flag,number_of_schools,headcount_of_pupils
202324,Academic year,Local authority,E92000001,England,London,E12000007,201,E09000001,City of London,Total,Independent school,Total,Total,Total,Total,Total,5,2741
202324,Academic year,Local authority,E92000001,England,London,E12000007,201,E09000001,City of London,Total,State-funded primary,Total,Total,Total,Total,Total,1,244
202324,Academic year,Local authority,E92000001,England,London,E12000007,201,E09000001,City of London,Total,Total,Total,Total,Total,Total,Total,6,2985
202324,Academic year,Local authority,E92000001,England,London,E12000007,301,E09000002,Barking and Dagenham,Total,Independent school,Total,Total,Total,Total,Total,5,228
202324,Academic year,Local authority,E92000001,England,London,E12000007,301,E09000002,Barking and Dagenham,Total,State-funded AP school,Total,Total,Total,Total,Total,1,113
202324,Academic year,Local authority,E92000001,England,London,E12000007,301,E09000002,Barking and Dagenham,Total,State-funded primary,Total,Total,Total,Total,Total,43,24411
202324,Academic year,Local authority,E92000001,England,London,E12000007,301,E09000002,Barking and Dagenham,Total,State-funded secondary,Total,Total,Total,Total,Total,13,20796
202324,Academic year,Local authority,E92000001,England,London,E12000007,301,E09000002,Barking and Dagenham,Total,State-funded special school,Total,Total,Total,Total,Total,3,566
202324,Academic year,Local authority,E92000001,England,London,E12000007,301,E09000002,Barking and Dagenham,Total,Total,Total,Total,Total,Total,Total,65,46114
202324,Academic year,Local authority,E92000001,England,London,E12000007,302,E09000003,Barnet,Total,Independent school,Total,Total,Total,Total,Total,37,8143
202324,Academic year,Local authority,E92000001,England,London,E12000007,302,E09000003,Barnet,Total,State-funded AP school,Total,Total,Total,Total,Total,2,56
202324,Academic year,Local authority,E92000001,England,London,E12000007,302,E09000003,Barnet,Total,State-funded nursery,Total,Total,Total,Total,Total,4,419
202324,Academic year,Local authority,E92000001,England,London,E12000007,302,E09000003,Barnet,Total,State-funded primary,Total,Total,Total,Total,Total,90,30286
202324,Academic year,Local authority,E92000001,England,London,E12000007,302,E09000003,Barnet,Total,State-funded secondary,Total,Total,Total,Total,Total,28,30726
202324,Academic year,Local authority,E92000001,England,London,E12000007,302,E09000003,Barnet,Total,State-funded special school,Total,Total,Total,Total,Total,7,774
202324,Academic year,Local authority,E92000001,England,London,E12000007,302,E09000003,Barnet,Total,Total,Total,Total,Total,Total,Total,168,70404
202324,Academic year,Local authority,E92000001,England,London,E12000007,303,E09000004,Bexley,Total,Independent school,Total,Total,Total,Total,Total,6,793
202324,Academic year,Local authority,E92000001,England,London,E12000007,303,E09000004,Bexley,Total,State-funded AP school,Total,Total,Total,Total,Total,1,15
202324,Academic year,Local authority,E92000001,England,London,E12000007,303,E09000004,Bexley,Total,State-funded primary,Total,Total,Total,Total,Total,60,22381
202324,Academic year,Local authority,E92000001,England,London,E12000007,303,E09000004,Bexley,Total,State-funded secondary,Total,Total,Total,Total,Total,16,20111
202324,Academic year,Local authority,E92000001,England,London,E12000007,303,E09000004,Bexley,Total,State-funded special school,Total,Total,Total,Total,Total,7,826
202324,Academic year,Local authority,E92000001,England,London,E12000007,303,E09000004,Bexley,Total,Total,Total,Total,Total,Total,Total,90,44126
202324,Academic year,Local authority,E92000001,England,London,E12000007,304,E09000005,Brent,Total,Independent school,Total,Total,Total,Total,Total,15,2133
202324,Academic year,Local authority,E92000001,England,London,E12000007,304,E09000005,Brent,Total,State-funded AP school,Total,Total,Total,Total,Total,3,70
202324,Academic year,Local authority,E92000001,England,London,E12000007,304,E09000005,Brent,Total,State-funded nursery,Total,Total,Total,Total,Total,4,354
202324,Academic year,Local authority,E92000001,England,London,E12000007,304,E09000005,Brent,Total,State-funded primary,Total,Total,Total,Total,Total,60,26113
202324,Academic year,Local authority,E92000001,England,London,E12000007,304,E09000005,Brent,Total,State-funded secondary,Total,Total,Total,Total,Total,16,21285
202324,Academic year,Local authority,E92000001,England,London,E12000007,304,E09000005,Brent,Total,State-funded special school,Total,Total,Total,Total,Total,5,895
202324,Academic year,Local authority,E92000001,England,London,E12000007,304,E09000005,Brent,Total,Total,Total,Total,Total,Total,Total,103,50850
202324,Academic year,Local authority,E92000001,England,London,E12000007,305,E09000006,Bromley,Total,Independent school,Total,Total,Total,Total,Total,16,5184
202324,Academic year,Local authority,E92000001,England,London,E12000007,305,E09000006,Bromley,Total,State-funded AP school,Total,Total,Total,Total,Total,1,65
202324,Academic year,Local authority,E92000001,England,London,E12000007,305,E09000006,Bromley,Total,State-funded primary,Total,Total,Total,Total,Total,76,27675
202324,Academic year,Local authority,E92000001,England,London,E12000007,305,E09000006,Bromley,Total,State-funded secondary,Total,Total,Total,Total,Total,19,24599
202324,Academic year,Local authority,E92000001,England,London,E12000007,305,E09000006,Bromley,Total,State-funded special school,Total,Total,Total,Total,Total,4,896
202324,Academic year,Local authority,E92000001,England,London,E12000007,305,E09000006,Bromley,Total,Total,Total,Total,Total,Total,Total,116,58419
202324,Academic year,Local authority,E92000001,England,London,E12000007,202,E09000007,Camden,Total,Independent school,Total,Total,Total,Total,Total,33,9372
202324,Academic year,Local authority,E92000001,England,London,E12000007,202,E09000007,Camden,Total,State-funded AP school,Total,Total,Total,Total,Total,3,61
202324,Academic year,Local authority,E92000001,England,London,E12000007,202,E09000007,Camden,Total,State-funded nursery,Total,Total,Total,Total,Total,1,123
202324,Academic year,Local authority,E92000001,England,London,E12000007,202,E09000007,Camden,Total,State-funded primary,Total,Total,Total,Total,Total,38,10223
202324,Academic year,Local authority,E92000001,England,London,E12000007,202,E09000007,Camden,Total,State-funded secondary,Total,Total,Total,Total,Total,10,10290
202324,Academic year,Local authority,E92000001,England,London,E12000007,202,E09000007,Camden,Total,State-funded special school,Total,Total,Total,Total,Total,5,435
202324,Academic year,Local authority,E92000001,England,London,E12000007,202,E09000007,Camden,Total,Total,Total,Total,Total,Total,Total,90,30504
202324,Academic year,Local authority,E92000001,England,London,E12000007,306,E09000008,Croydon,Total,Independent school,Total,Total,Total,Total,Total,26,7267
202324,Academic year,Local authority,E92000001,England,London,E12000007,306,E09000008,Croydon,Total,State-funded AP school,Total,Total,Total,Total,Total,2,84
202324,Academic year,Local authority,E92000001,England,London,E12000007,306,E09000008,Croydon,Total,State-funded nursery,Total,Total,Total,Total,Total,5,418
